date,campaign,channel,impressions,clicks,signups,sales,spend
2024-01-13,brand_awareness_q1,display,182839,808,20,1,751.84
2024-01-13,brand_awareness_q1,email,40469,856,110,27,84.42
2024-01-13,brand_awareness_q1,video,161029,1533,72,11,1840.52
2024-01-14,brand_awareness_q1,paid_search,46773,1963,197,61,872.57
2024-01-14,brand_awareness_q1,paid_social,137267,2240,131,13,1281.38
2024-01-14,brand_awareness_q1,display,181395,806,28,2,711.45
2024-01-14,brand_awareness_q1,email,39619,776,66,17,77.88
2024-01-14,brand_awareness_q1,video,161491,1533,53,7,1918.45
2024-01-15,brand_awareness_q1,paid_search,66839,3051,308,53,1259.7
2024-01-15,brand_awareness_q1,paid_social,98955,2110,90,9,884.77
2024-01-15,brand_awareness_q1,display,234050,1083,34,3,925.45
2024-01-15,brand_awareness_q1,email,37344,740,99,20,77.87
2024-01-15,brand_awareness_q1,video,147706,1285,58,7,1748.41
2024-01-16,brand_awareness_q1,paid_search,51033,2447,175,37,950.56
2024-01-16,brand_awareness_q1,paid_social,117103,1939,85,11,1043.64
2024-01-16,brand_awareness_q1,display,206251,877,25,3,839.63
2024-01-16,brand_awareness_q1,email,41045,944,99,35,77.99
2024-01-16,brand_awareness_q1,video,137117,1066,44,5,1639.64
2024-01-17,brand_awareness_q1,paid_search,57762,2301,181,59,1070.49
2024-01-17,brand_awareness_q1,paid_social,99295,1490,75,12,878.93
2024-01-17,brand_awareness_q1,display,241491,1328,43,3,936.9
2024-01-17,brand_awareness_q1,email,31497,622,73,32,60.3
2024-01-17,brand_awareness_q1,video,143183,1204,39,5,1717.23
2024-01-18,brand_awareness_q1,paid_search,54448,2603,146,43,1006.53
2024-01-18,brand_awareness_q1,paid_social,97533,1703,68,13,879.37
2024-01-18,brand_awareness_q1,display,191326,860,31,2,788.37
2024-01-18,brand_awareness_q1,email,38714,1017,129,61,80.46
2024-01-18,brand_awareness_q1,video,152429,1326,53,8,1837.9
2024-01-19,brand_awareness_q1,paid_search,66233,3270,257,51,1162.06
2024-01-19,brand_awareness_q1,paid_social,115547,2300,116,19,1016.48
2024-01-19,brand_awareness_q1,display,193798,885,22,1,778.3
2024-01-19,brand_awareness_q1,email,32975,647,86,35,63.08
2024-01-19,brand_awareness_q1,video,143851,1170,44,4,1712.43
2024-01-20,brand_awareness_q1,paid_search,49951,2323,207,66,923.0
2024-01-20,brand_awareness_q1,paid_social,123463,1783,81,14,1150.44
2024-01-20,brand_awareness_q1,display,189754,918,31,3,766.85
2024-01-20,brand_awareness_q1,email,34006,664,76,16,66.9
2024-01-20,brand_awareness_q1,video,156453,1203,38,4,1807.53
2024-01-21,brand_awareness_q1,paid_search,46342,1690,126,33,794.71
2024-01-21,brand_awareness_q1,paid_social,134025,2060,100,9,1191.64
2024-01-21,brand_awareness_q1,display,153136,712,24,2,627.98
2024-01-21,brand_awareness_q1,email,40962,811,72,15,82.25
2024-01-21,brand_awareness_q1,video,171358,1288,56,8,2087.5
2024-01-22,brand_awareness_q1,paid_search,64388,3418,224,34,1118.7
2024-01-22,brand_awareness_q1,paid_social,99593,1914,99,11,914.22
2024-01-22,brand_awareness_q1,display,242307,1050,33,3,931.87
2024-01-22,brand_awareness_q1,email,40972,1068,98,21,80.4
2024-01-22,brand_awareness_q1,video,157520,1491,55,7,1810.09
2024-01-23,brand_awareness_q1,paid_search,63485,3002,182,55,1182.76
2024-01-23,brand_awareness_q1,paid_social,115989,1771,114,20,1027.95
2024-01-23,brand_awareness_q1,display,220355,1044,31,2,912.23
2024-01-23,brand_awareness_q1,email,41161,762,116,45,85.03
2024-01-23,brand_awareness_q1,video,159466,1242,56,9,1869.6
2024-01-24,brand_awareness_q1,paid_search,65858,3008,238,56,1212.83
2024-01-24,brand_awareness_q1,paid_social,105179,2159,129,12,982.74
2024-01-24,brand_awareness_q1,display,208695,1028,32,2,795.44
2024-01-24,brand_awareness_q1,email,41644,799,79,34,81.96
2024-01-24,brand_awareness_q1,video,167906,1451,50,3,2105.15
2024-01-25,brand_awareness_q1,paid_search,52999,2594,206,62,972.17
2024-01-25,brand_awareness_q1,paid_social,118447,2124,124,12,1036.34
2024-01-25,brand_awareness_q1,display,240019,1107,34,3,963.04
2024-01-25,brand_awareness_q1,email,36981,893,96,39,72.27
2024-01-25,brand_awareness_q1,video,140023,950,30,2,1686.3
2024-01-26,brand_awareness_q1,paid_search,65547,2578,171,42,1206.34
2024-01-26,brand_awareness_q1,paid_social,130229,2367,102,10,1136.21
2024-01-26,brand_awareness_q1,display,209247,912,19,1,818.1
2024-01-26,brand_awareness_q1,email,43383,974,130,31,89.96
2024-01-26,brand_awareness_q1,video,151502,1392,58,6,1807.2
2024-01-27,brand_awareness_q1,paid_search,41429,1529,154,37,769.74
2024-01-27,brand_awareness_q1,paid_social,127649,1906,102,9,1108.54
2024-01-27,brand_awareness_q1,display,174846,805,31,2,717.88
2024-01-27,brand_awareness_q1,email,39352,966,96,34,78.31
2024-01-27,brand_awareness_q1,video,149922,1372,71,7,1820.84
2024-01-28,brand_awareness_q1,paid_search,47466,2341,237,45,829.7
2024-01-28,brand_awareness_q1,paid_social,138478,2150,86,8,1184.32
2024-01-28,brand_awareness_q1,display,169771,880,23,1,693.14
2024-01-28,brand_awareness_q1,email,40627,877,117,54,83.59
2024-01-28,brand_awareness_q1,video,158929,1353,68,7,1915.65
2024-01-29,brand_awareness_q1,paid_search,64259,3364,321,52,1118.02
2024-01-29,brand_awareness_q1,paid_social,108717,2151,112,13,941.7
2024-01-29,brand_awareness_q1,display,243814,1316,49,4,974.65
2024-01-29,brand_awareness_q1,email,33618,603,69,20,65.56
2024-01-29,brand_awareness_q1,video,134974,1279,61,7,1692.7
2024-01-30,brand_awareness_q1,paid_search,71062,3418,235,37,1311.9
2024-01-30,brand_awareness_q1,paid_social,114850,2192,136,15,1042.47
2024-01-30,brand_awareness_q1,display,241123,1201,27,2,948.41
2024-01-30,brand_awareness_q1,email,40596,1020,109,44,79.47
2024-01-30,brand_awareness_q1,video,175136,1576,64,7,2062.65
2024-01-31,brand_awareness_q1,paid_search,58781,3142,236,59,1109.7
2024-01-31,brand_awareness_q1,paid_social,121891,2231,105,11,1081.86
2024-01-31,brand_awareness_q1,display,250680,1316,45,3,1007.66
2024-01-31,brand_awareness_q1,email,43772,939,126,30,91.69
2024-01-31,brand_awareness_q1,video,160250,1148,36,4,1933.05
2024-02-01,brand_awareness_q1,paid_search,54740,2948,294,71,947.63
2024-02-01,brand_awareness_q1,paid_social,128555,2312,130,19,1130.78
2024-02-01,brand_awareness_q1,display,257291,1533,38,3,1017.18
2024-02-01,brand_awareness_q1,email,43900,968,142,64,85.84
2024-02-01,brand_awareness_q1,video,169436,1309,66,7,2098.41
2024-02-02,brand_awareness_q1,paid_search,58552,2422,203,71,1052.84
2024-02-02,brand_awareness_q1,paid_social,105055,1920,87,13,949.6
2024-02-02,brand_awareness_q1,display,231725,1076,26,3,933.55
2024-02-02,brand_awareness_q1,email,36016,879,76,31,73.51
2024-02-02,brand_awareness_q1,video,171209,1307,57,8,2153.29
2024-02-03,brand_awareness_q1,paid_search,47124,1727,138,36,879.59
2024-02-03,brand_awareness_q1,paid_social,150901,2651,134,19,1388.32
2024-02-03,brand_awareness_q1,display,172184,914,21,2,721.05
2024-02-03,brand_awareness_q1,email,37420,886,115,51,77.48
2024-02-03,brand_awareness_q1,video,174258,1327,47,6,2145.34
2024-02-04,brand_awareness_q1,paid_search,52706,1931,114,31,988.64
2024-02-04,brand_awareness_q1,paid_social,156643,3097,148,15,1428.64
2024-02-04,brand_awareness_q1,display,197658,966,32,4,754.74
2024-02-04,brand_awareness_q1,email,43018,868,96,24,86.3
2024-02-04,brand_awareness_q1,video,161158,1440,46,3,2005.61
2024-02-05,brand_awareness_q1,paid_search,65791,2653,264,47,1179.64
2024-02-05,brand_awareness_q1,paid_social,110293,1790,63,11,1032.46
2024-02-05,brand_awareness_q1,display,250855,1082,31,2,1012.21
2024-02-05,brand_awareness_q1,email,41348,882,89,39,80.21
2024-02-05,brand_awareness_q1,video,153284,1218,41,5,1853.17
2024-02-06,brand_awareness_q1,paid_search,73245,3026,311,87,1288.68
2024-02-06,brand_awareness_q1,paid_social,122016,2359,135,12,1109.83
2024-02-06,brand_awareness_q1,display,239065,1388,36,4,966.5
2024-02-06,brand_awareness_q1,email,38116,884,113,45,77.92
2024-02-06,brand_awareness_q1,video,167151,1518,65,10,2035.17
2024-02-07,brand_awareness_q1,paid_search,60445,2655,222,65,1043.42
2024-02-07,brand_awareness_q1,paid_social,112836,2232,89,9,1019.53
2024-02-07,brand_awareness_q1,display,274464,1389,52,6,1071.17
2024-02-07,brand_awareness_q1,email,43979,960,136,56,86.54
2024-02-07,brand_awareness_q1,video,141795,1344,42,6,1762.82
2024-02-08,brand_awareness_q1,paid_search,68766,3688,377,117,1221.17
2024-02-08,brand_awareness_q1,paid_social,131347,1904,97,14,1202.55
2024-02-08,brand_awareness_q1,display,254115,1313,47,6,976.65
2024-02-08,brand_awareness_q1,email,37054,660,97,35,77.19
2024-02-08,brand_awareness_q1,video,147617,974,46,7,1736.36
2024-02-09,brand_awareness_q1,paid_search,62968,2425,245,51,1132.59
2024-02-09,brand_awareness_q1,paid_social,106734,2218,86,12,976.98
2024-02-09,brand_awareness_q1,display,260522,1534,43,5,1006.09
2024-02-09,brand_awareness_q1,email,39435,728,86,27,82.43
2024-02-09,brand_awareness_q1,video,139181,1055,40,6,1729.54
2024-02-10,brand_awareness_q1,paid_search,42937,2075,170,58,761.94
2024-02-10,brand_awareness_q1,paid_social,136021,2144,82,15,1218.65
2024-02-10,brand_awareness_q1,display,191948,1014,32,1,789.81
2024-02-10,brand_awareness_q1,email,37540,702,87,19,77.07
2024-02-10,brand_awareness_q1,video,148385,1052,51,5,1717.86
2024-02-11,brand_awareness_q1,paid_search,54940,1980,192,34,952.33
2024-02-11,brand_awareness_q1,paid_social,130463,2042,111,10,1117.2
2024-02-11,brand_awareness_q1,display,199928,894,23,1,763.92
2024-02-11,brand_awareness_q1,email,43836,974,134,46,90.11
2024-02-11,brand_awareness_q1,video,164140,1107,44,7,1879.74
2024-02-12,brand_awareness_q1,paid_search,71311,3680,298,71,1343.16
2024-02-12,brand_awareness_q1,paid_social,107000,1909,89,15,962.06
2024-02-12,brand_awareness_q1,display,276768,1147,25,2,1058.99
2024-02-12,brand_awareness_q1,email,38306,887,109,32,80.4
2024-02-12,brand_awareness_q1,video,165822,1302,55,4,2030.02
2024-02-13,brand_awareness_q1,paid_search,73052,3485,323,95,1277.46
2024-02-13,brand_awareness_q1,paid_social,122063,1958,88,12,1089.34
2024-02-13,brand_awareness_q1,display,217635,1056,34,3,840.3
2024-02-13,brand_awareness_q1,email,46527,846,121,28,89.3
2024-02-13,brand_awareness_q1,video,176983,1592,65,8,2136.88
2024-02-14,brand_awareness_q1,paid_search,63005,2406,175,49,1162.47
2024-02-14,brand_awareness_q1,paid_social,138246,2708,173,28,1225.76
2024-02-14,brand_awareness_q1,display,254817,1127,36,2,979.33
2024-02-14,brand_awareness_q1,email,45799,954,132,48,94.41
2024-02-14,brand_awareness_q1,video,183186,1743,83,10,2229.6
2024-02-15,brand_awareness_q1,paid_search,57255,3018,289,58,997.65
2024-02-15,brand_awareness_q1,paid_social,132750,2206,99,8,1238.94
2024-02-15,brand_awareness_q1,display,255260,1225,28,3,973.12
2024-02-15,brand_awareness_q1,email,44793,873,99,30,88.42
2024-02-15,brand_awareness_q1,video,177946,1581,65,5,2039.82
2024-02-16,brand_awareness_q1,paid_search,60192,2836,250,51,1101.0
2024-02-16,brand_awareness_q1,paid_social,125248,2202,95,17,1083.7
2024-02-16,brand_awareness_q1,display,246289,1124,37,3,1001.62
2024-02-16,brand_awareness_q1,email,36211,763,97,20,70.98
2024-02-16,brand_awareness_q1,video,153190,1047,35,3,1747.79
2024-02-17,brand_awareness_q1,paid_search,54326,2127,157,45,977.89
2024-02-17,brand_awareness_q1,paid_social,159955,3231,120,23,1373.71
2024-02-17,brand_awareness_q1,display,162285,948,34,3,653.9
2024-02-17,brand_awareness_q1,email,44797,953,87,18,88.02
2024-02-17,brand_awareness_q1,video,183835,1540,73,11,2115.16
2024-02-18,brand_awareness_q1,paid_search,56098,2265,190,48,999.24
2024-02-18,brand_awareness_q1,paid_social,137856,2322,104,11,1242.0
2024-02-18,brand_awareness_q1,display,168587,846,31,2,689.68
2024-02-18,brand_awareness_q1,email,46424,1150,116,29,90.04
2024-02-18,brand_awareness_q1,video,174686,1542,67,5,2153.43
2024-02-19,brand_awareness_q1,paid_search,68029,3372,311,74,1276.46
2024-02-19,brand_awareness_q1,paid_social,130252,2471,132,25,1187.18
2024-02-19,brand_awareness_q1,display,228799,946,27,2,894.57
2024-02-19,brand_awareness_q1,email,36922,814,86,28,70.57
2024-02-19,brand_awareness_q1,video,187327,1244,60,9,2273.78
2024-02-20,brand_awareness_q1,paid_search,68655,3043,251,77,1284.71
2024-02-20,brand_awareness_q1,paid_social,126519,2559,139,17,1135.9
2024-02-20,brand_awareness_q1,display,230004,948,21,2,905.61
2024-02-20,brand_awareness_q1,email,45572,1004,96,26,90.58
2024-02-20,brand_awareness_q1,video,168163,1357,43,4,1974.14
2024-02-21,brand_awareness_q1,paid_search,66989,2819,238,73,1223.56
2024-02-21,brand_awareness_q1,paid_social,112322,1693,93,11,1033.52
2024-02-21,brand_awareness_q1,display,270411,1571,57,4,1090.59
2024-02-21,brand_awareness_q1,email,38416,794,122,49,76.0
2024-02-21,brand_awareness_q1,video,177096,1664,58,6,2187.13
2024-02-22,brand_awareness_q1,paid_search,75748,3640,348,103,1388.74
2024-02-22,brand_awareness_q1,paid_social,130857,2493,118,15,1161.53
2024-02-22,brand_awareness_q1,display,234752,1039,39,3,913.33
2024-02-22,brand_awareness_q1,email,38571,705,102,24,79.23
2024-02-22,brand_awareness_q1,video,190509,1757,50,5,2346.99
2024-02-23,brand_awareness_q1,paid_search,61908,2648,168,53,1144.55
2024-02-23,brand_awareness_q1,paid_social,142626,2223,106,14,1306.27
2024-02-23,brand_awareness_q1,display,240494,1175,30,3,957.06
2024-02-23,brand_awareness_q1,email,43952,893,127,43,90.85
2024-02-23,brand_awareness_q1,video,167133,1576,81,9,1961.83
2024-02-24,brand_awareness_q1,paid_search,50630,2303,235,73,938.79
2024-02-24,brand_awareness_q1,paid_social,134539,2179,118,22,1217.46
2024-02-24,brand_awareness_q1,display,173371,986,35,2,711.73
2024-02-24,brand_awareness_q1,email,40760,1042,98,32,85.16
2024-02-24,brand_awareness_q1,video,160378,1257,45,3,1838.56
2024-02-25,brand_awareness_q1,paid_search,52804,2125,220,49,905.63
2024-02-25,brand_awareness_q1,paid_social,171332,3502,190,35,1486.11
2024-02-25,brand_awareness_q1,display,185246,1048,35,2,756.21
2024-02-25,brand_awareness_q1,email,43299,764,68,19,89.5
2024-02-25,brand_awareness_q1,video,178486,1557,63,5,2096.45
2024-02-26,brand_awareness_q1,paid_search,66523,2452,186,57,1192.28
2024-02-26,brand_awareness_q1,paid_social,117159,2450,129,11,1056.05
2024-02-26,brand_awareness_q1,display,244751,1049,30,3,953.61
2024-02-26,brand_awareness_q1,email,43108,1010,91,43,82.49
2024-02-26,brand_awareness_q1,video,178242,1430,73,9,2115.47
2024-02-27,brand_awareness_q1,paid_search,70489,3344,344,69,1207.42
2024-02-27,brand_awareness_q1,paid_social,144905,2446,139,22,1339.55
2024-02-27,brand_awareness_q1,display,285543,1332,29,3,1177.98
2024-02-27,brand_awareness_q1,email,40121,981,115,46,81.3
2024-02-27,brand_awareness_q1,video,194433,1283,59,6,2285.0
2024-02-28,brand_awareness_q1,paid_search,61724,2443,141,47,1112.74
2024-02-28,brand_awareness_q1,paid_social,153759,2815,119,21,1341.08
2024-02-28,brand_awareness_q1,display,256662,1427,52,4,988.09
2024-02-28,brand_awareness_q1,email,42925,1091,150,69,84.88
2024-02-28,brand_awareness_q1,video,204187,1631,65,10,2454.97
2024-02-29,brand_awareness_q1,paid_search,78395,3848,230,62,1456.6
2024-02-29,brand_awareness_q1,paid_social,136650,2283,85,14,1206.05
2024-02-29,brand_awareness_q1,display,277923,1348,45,3,1060.82
2024-02-29,brand_awareness_q1,email,49925,1033,161,46,104.64
2024-02-29,brand_awareness_q1,video,203901,1353,58,6,2520.48
2024-03-01,brand_awareness_q1,paid_search,76180,4048,254,68,1409.81
2024-03-01,brand_awareness_q1,paid_social,116626,1735,101,13,1037.34
2024-03-01,brand_awareness_q1,display,276554,1440,47,6,1092.06
2024-03-01,brand_awareness_q1,email,48746,1104,134,43,98.95
2024-03-01,brand_awareness_q1,video,167148,1130,51,6,1983.11
2024-03-02,brand_awareness_q1,paid_search,55519,2260,154,36,1048.95
2024-03-02,brand_awareness_q1,paid_social,146638,3079,153,16,1366.31
2024-03-02,brand_awareness_q1,display,201476,1168,33,2,820.57
2024-03-02,brand_awareness_q1,email,50134,1023,111,25,100.69
2024-03-02,brand_awareness_q1,video,203036,1852,83,13,2469.98
2024-03-03,brand_awareness_q1,paid_search,59636,2693,166,31,1034.68
2024-03-03,brand_awareness_q1,paid_social,171297,2499,128,17,1588.49
2024-03-03,brand_awareness_q1,display,208711,1090,24,2,876.55
2024-03-03,brand_awareness_q1,email,48671,1081,150,66,93.19
2024-03-03,brand_awareness_q1,video,208580,1763,68,9,2464.04
2024-03-04,brand_awareness_q1,paid_search,81803,4093,354,65,1541.11
2024-03-04,brand_awareness_q1,paid_social,134977,2828,103,10,1172.64
2024-03-04,brand_awareness_q1,display,247805,1151,38,3,1034.92
2024-03-04,brand_awareness_q1,email,51361,1286,131,50,103.24
2024-03-04,brand_awareness_q1,video,163027,1201,49,5,1891.5
2024-03-05,brand_awareness_q1,paid_search,83658,3243,284,83,1521.68
2024-03-05,brand_awareness_q1,paid_social,152742,2819,168,15,1312.19
2024-03-05,brand_awareness_q1,display,288773,1488,48,5,1145.46
2024-03-05,brand_awareness_q1,email,48094,1057,136,39,100.58
2024-03-05,brand_awareness_q1,video,183733,1649,73,7,2110.65
2024-03-06,brand_awareness_q1,paid_search,64466,2830,224,42,1172.76
2024-03-06,brand_awareness_q1,paid_social,131429,2572,146,28,1239.09
2024-03-06,brand_awareness_q1,display,247667,1174,36,3,987.35
2024-03-06,brand_awareness_q1,email,43181,854,77,22,85.36
2024-03-06,brand_awareness_q1,video,192106,1382,67,5,2265.49
2024-03-07,brand_awareness_q1,paid_search,76414,3181,294,73,1377.48
2024-03-07,brand_awareness_q1,paid_social,139961,2326,83,16,1260.33
2024-03-07,brand_awareness_q1,display,319232,1414,38,2,1276.28
2024-03-07,brand_awareness_q1,email,52024,1215,143,51,107.66
2024-03-07,brand_awareness_q1,video,182816,1686,76,11,2164.38
2024-03-08,brand_awareness_q1,paid_search,72838,3369,220,57,1255.17
2024-03-08,brand_awareness_q1,paid_social,140950,2805,121,25,1291.43
2024-03-08,brand_awareness_q1,display,249344,1483,41,5,981.33
2024-03-08,brand_awareness_q1,email,53102,1287,126,44,106.2
2024-03-08,brand_awareness_q1,video,162090,1108,39,4,1936.71
2024-03-09,brand_awareness_q1,paid_search,58416,2645,189,51,1016.0
2024-03-09,brand_awareness_q1,paid_social,186714,3682,161,20,1735.59
2024-03-09,brand_awareness_q1,display,214354,1161,30,3,846.13
2024-03-09,brand_awareness_q1,email,49636,1301,163,70,101.51
2024-03-09,brand_awareness_q1,video,199351,1292,50,8,2459.89
2024-03-10,brand_awareness_q1,paid_search,61632,2859,259,69,1072.82
2024-03-10,brand_awareness_q1,paid_social,169969,3205,193,20,1557.37
2024-03-10,brand_awareness_q1,display,183443,1081,24,1,720.1
2024-03-10,brand_awareness_q1,email,42470,1005,114,48,88.51
2024-03-10,brand_awareness_q1,video,210941,1846,54,4,2457.21
2024-03-11,brand_awareness_q1,paid_search,72292,3464,281,59,1258.73
2024-03-11,brand_awareness_q1,paid_social,160743,2710,123,22,1478.65
2024-03-11,brand_awareness_q1,display,298412,1607,51,3,1163.39
2024-03-11,brand_awareness_q1,email,48516,949,146,42,94.98
2024-03-11,brand_awareness_q1,video,173991,1506,53,5,2178.44
2024-03-12,brand_awareness_q1,paid_search,83503,3417,211,60,1484.97
2024-03-12,brand_awareness_q1,paid_social,164539,3338,212,39,1449.82
2024-03-12,brand_awareness_q1,display,269318,1461,39,3,1051.03
2024-03-12,brand_awareness_q1,email,47639,923,113,53,97.15
2024-03-12,brand_awareness_q1,video,170895,1430,60,5,2085.57
2024-03-13,brand_awareness_q1,paid_search,77833,3695,216,50,1431.45
2024-03-13,brand_awareness_q1,paid_social,127263,2538,89,13,1194.51
2024-03-13,brand_awareness_q1,display,281105,1650,60,5,1090.63
2024-03-13,brand_awareness_q1,email,54904,1121,146,67,105.3
2024-03-13,brand_awareness_q1,video,197075,1598,72,11,2462.62
2024-03-14,brand_awareness_q1,paid_search,69968,3629,233,77,1322.04
2024-03-14,brand_awareness_q1,paid_social,140868,2530,159,32,1321.83
2024-03-14,brand_awareness_q1,display,323578,1300,40,2,1356.83
2024-03-14,brand_awareness_q1,email,45321,1192,146,50,94.62
2024-03-14,brand_awareness_q1,video,214225,1691,55,4,2483.94
2024-03-15,brand_awareness_q1,paid_search,76976,3127,203,60,1425.86
2024-03-15,brand_awareness_q1,paid_social,149103,2960,119,22,1395.21
2024-03-15,brand_awareness_q1,display,320933,1614,36,4,1243.27
2024-03-15,brand_awareness_q1,email,43458,888,90,25,84.62
2024-03-15,brand_awareness_q1,video,209674,1982,69,9,2393.16
2024-03-16,brand_awareness_q1,paid_search,61470,2979,175,30,1085.08
2024-03-16,brand_awareness_q1,paid_social,164145,2957,182,31,1449.38
2024-03-16,brand_awareness_q1,display,195064,1137,29,3,758.34
2024-03-16,brand_awareness_q1,email,43584,825,113,42,86.43
2024-03-16,brand_awareness_q1,video,198764,1571,64,8,2318.0
2024-03-17,brand_awareness_q1,paid_search,54595,2707,265,44,977.48
2024-03-17,brand_awareness_q1,paid_social,180210,2696,139,13,1629.62
2024-03-17,brand_awareness_q1,display,221880,1141,27,2,889.33
2024-03-17,brand_awareness_q1,email,43558,845,106,24,87.21
2024-03-17,brand_awareness_q1,video,215137,1689,68,7,2467.47
2024-03-18,brand_awareness_q1,paid_search,78280,3955,358,82,1453.63
2024-03-18,brand_awareness_q1,paid_social,159398,2959,107,14,1372.0
2024-03-18,brand_awareness_q1,display,340913,2000,44,5,1299.8
2024-03-18,brand_awareness_q1,email,48130,1172,163,78,97.66
2024-03-18,brand_awareness_q1,video,193205,1850,68,10,2412.77
2024-03-19,brand_awareness_q1,paid_search,76617,3699,324,83,1400.28
2024-03-19,brand_awareness_q1,paid_social,142410,2233,114,17,1310.89
2024-03-19,brand_awareness_q1,display,273621,1096,23,1,1113.47
2024-03-19,brand_awareness_q1,email,50405,1123,160,44,99.26
2024-03-19,brand_awareness_q1,video,185575,1744,79,6,2295.82
2024-03-20,brand_awareness_q1,paid_search,78061,3886,382,58,1363.8
2024-03-20,brand_awareness_q1,paid_social,132040,1933,102,17,1134.73
2024-03-20,brand_awareness_q1,display,321648,1545,38,2,1333.39
2024-03-20,brand_awareness_q1,email,43346,955,100,43,88.7
2024-03-20,brand_awareness_q1,video,189134,1572,69,7,2224.62
2024-03-21,brand_awareness_q1,paid_search,71807,3438,229,48,1235.78
2024-03-21,brand_awareness_q1,paid_social,171062,3546,221,36,1528.35
2024-03-21,brand_awareness_q1,display,301153,1790,67,7,1239.04
