day,campaign,channel,partner,ad,impr,clicks,spend,engagement,sales,revenue
2024-01-02,Brand Awareness,Paid Search,Bing,Our Story,10827,456,232.27,105,23,2404.24
2024-01-02,Brand Awareness,Paid Search,Bing,Why Choose Us,10413,524,221.87,107,32,4030.41
2024-01-02,Brand Awareness,Paid Social,Facebook,Hero Brand,52489,953,513.5,1596,20,1505.92
2024-01-02,Brand Awareness,Paid Social,Facebook,Our Story,43478,645,436.26,1465,21,1749.57
2024-01-02,Brand Awareness,Paid Social,Facebook,Why Choose Us,49333,768,511.51,1866,24,2011.73
2024-01-02,Brand Awareness,Paid Social,Instagram,Hero Brand,32144,566,311.29,947,18,1466.14
2024-01-02,Brand Awareness,Paid Social,Instagram,Our Story,34886,605,334.0,1411,11,807.07
2024-01-02,Brand Awareness,Paid Social,Instagram,Why Choose Us,32870,549,344.94,1010,16,1353.85
2024-01-02,Brand Awareness,Paid Social,TikTok,Hero Brand,19945,323,199.9,739,8,726.88
2024-01-02,Brand Awareness,Paid Social,TikTok,Our Story,20837,348,210.89,835,10,930.11
2024-01-02,Brand Awareness,Paid Social,TikTok,Why Choose Us,17336,279,176.14,545,5,357.73
2024-01-02,Brand Awareness,Display,Google Display Network,Hero Brand,111815,549,451.46,500,5,382.35
2024-01-02,Brand Awareness,Display,Google Display Network,Our Story,133156,654,542.6,806,9,672.31
2024-01-02,Brand Awareness,Display,Google Display Network,Why Choose Us,131882,762,523.58,674,9,727.4
2024-01-02,Brand Awareness,Display,The Trade Desk,Hero Brand,83921,354,324.47,379,4,293.98
2024-01-02,Brand Awareness,Display,The Trade Desk,Our Story,73872,319,301.06,406,4,288.04
2024-01-02,Brand Awareness,Display,The Trade Desk,Why Choose Us,77704,329,296.51,375,3,199.82
2024-01-02,Brand Awareness,Email,Mailchimp,Hero Brand,16084,3939,24.94,1368,210,23181.41
2024-01-02,Brand Awareness,Email,Mailchimp,Our Story,18571,3576,26.58,1717,147,14753.43
2024-01-02,Brand Awareness,Email,Mailchimp,Why Choose Us,19614,3646,29.67,1716,152,12802.62
2024-01-02,Brand Awareness,Email,Klaviyo,Hero Brand,14058,2775,21.45,1358,104,10564.09
2024-01-02,Brand Awareness,Email,Klaviyo,Our Story,13849,3374,21.42,1164,137,12420.16
2024-01-02,Brand Awareness,Email,Klaviyo,Why Choose Us,13972,3430,20.76,1154,186,18700.56
2024-01-02,Brand Awareness,Video,YouTube,Hero Brand,98054,759,1709.83,23275,14,1481.73
2024-01-02,Brand Awareness,Video,YouTube,Our Story,103118,736,1865.26,31917,11,1188.73
2024-01-02,Brand Awareness,Video,YouTube,Why Choose Us,88243,826,1605.67,19568,10,1035.56
2024-01-02,Brand Awareness,Video,Connected TV,Hero Brand,52919,361,999.43,16280,5,451.47
2024-01-02,Brand Awareness,Video,Connected TV,Our Story,56430,451,1037.74,14453,6,673.46
2024-01-02,Brand Awareness,Video,Connected TV,Why Choose Us,58288,423,1054.56,13998,8,818.02
2024-01-03,New Year Push,Paid Search,Google,Fresh Start,40016,2081,860.65,549,122,16271.43
2024-01-03,New Year Push,Paid Search,Google,Countdown Offer,36745,1885,790.83,396,122,16550.66
2024-01-03,New Year Push,Paid Search,Google,Resolution Ready,36585,1470,807.98,405,93,11116.98
2024-01-03,New Year Push,Paid Search,Bing,Fresh Start,10233,440,218.12,134,28,3039.91
2024-01-03,New Year Push,Paid Search,Bing,Countdown Offer,11028,423,248.55,145,31,3532.98
2024-01-03,New Year Push,Paid Search,Bing,Resolution Ready,10751,551,247.89,128,24,2833.95
2024-01-03,New Year Push,Paid Social,Facebook,Fresh Start,48214,983,500.18,1777,25,2023.51
2024-01-03,New Year Push,Paid Social,Facebook,Countdown Offer,49712,865,504.81,1562,22,2057.93
2024-01-03,New Year Push,Paid Social,Facebook,Resolution Ready,45364,873,460.44,2027,27,2452.68
2024-01-03,New Year Push,Paid Social,Instagram,Fresh Start,31510,529,321.99,1352,16,1129.33
2024-01-03,New Year Push,Paid Social,Instagram,Countdown Offer,29084,548,303.08,1380,16,1286.01
2024-01-03,New Year Push,Paid Social,Instagram,Resolution Ready,29318,553,304.1,1082,16,1470.79
2024-01-03,New Year Push,Paid Social,TikTok,Fresh Start,16645,331,163.01,592,6,496.6
2024-01-03,New Year Push,Paid Social,TikTok,Countdown Offer,18976,377,183.5,569,11,934.39
2024-01-03,New Year Push,Paid Social,TikTok,Resolution Ready,17518,362,168.93,652,8,607.85
2024-01-03,New Year Push,Display,Google Display Network,Fresh Start,112236,622,466.96,611,5,353.71
2024-01-03,New Year Push,Display,Google Display Network,Countdown Offer,122500,631,496.81,589,6,476.75
2024-01-03,New Year Push,Display,Google Display Network,Resolution Ready,118032,565,471.34,512,7,515.31
2024-01-03,New Year Push,Display,The Trade Desk,Fresh Start,87190,403,365.43,470,4,293.7
2024-01-03,New Year Push,Display,The Trade Desk,Countdown Offer,81447,443,311.1,428,5,403.65
2024-01-03,New Year Push,Display,The Trade Desk,Resolution Ready,73970,409,299.05,342,5,373.06
2024-01-03,New Year Push,Email,Mailchimp,Fresh Start,18630,4223,28.39,1786,191,20555.04
2024-01-03,New Year Push,Email,Mailchimp,Countdown Offer,18495,3616,27.58,1576,173,14565.88
2024-01-03,New Year Push,Email,Mailchimp,Resolution Ready,16989,3885,24.66,1136,167,18299.68
2024-01-03,New Year Push,Email,Klaviyo,Fresh Start,14727,3553,22.82,1060,178,16994.94
2024-01-03,New Year Push,Email,Klaviyo,Countdown Offer,15694,3588,23.16,1039,192,16445.53
2024-01-03,New Year Push,Email,Klaviyo,Resolution Ready,16256,3856,24.93,1652,207,21687.83
2024-01-03,New Year Push,Video,YouTube,Fresh Start,94117,831,1611.76,24438,12,1287.46
2024-01-03,New Year Push,Video,YouTube,Countdown Offer,101272,834,1881.67,31509,10,938.55
2024-01-03,New Year Push,Video,YouTube,Resolution Ready,86164,784,1560.48,26533,10,886.34
2024-01-03,New Year Push,Video,Connected TV,Fresh Start,56435,518,995.74,13731,6,693.93
2024-01-03,New Year Push,Video,Connected TV,Countdown Offer,49906,398,862.12,15190,4,402.33
2024-01-03,New Year Push,Video,Connected TV,Resolution Ready,54508,474,1024.9,13337,8,731.43
2024-01-03,Brand Awareness,Paid Search,Google,Hero Brand,35927,1414,789.55,411,111,11261.86
2024-01-03,Brand Awareness,Paid Search,Google,Our Story,35537,1601,817.04,502,75,9342.98
2024-01-03,Brand Awareness,Paid Search,Google,Why Choose Us,37068,1998,803.97,422,100,10462.45
2024-01-03,Brand Awareness,Paid Search,Bing,Hero Brand,11208,507,250.59,144,33,3334.85
2024-01-03,Brand Awareness,Paid Search,Bing,Our Story,11056,461,234.13,136,21,2675.12
2024-01-03,Brand Awareness,Paid Search,Bing,Why Choose Us,9617,397,219.4,105,19,2511.4
2024-01-03,Brand Awareness,Paid Social,Facebook,Hero Brand,41561,844,400.84,1287,18,1331.87
2024-01-03,Brand Awareness,Paid Social,Facebook,Our Story,49017,731,466.39,2132,16,1242.64
2024-01-03,Brand Awareness,Paid Social,Facebook,Why Choose Us,43503,656,445.55,1674,19,1546.9
2024-01-03,Brand Awareness,Paid Social,Instagram,Hero Brand,34610,625,332.57,1317,20,1415.34
2024-01-03,Brand Awareness,Paid Social,Instagram,Our Story,34650,706,347.24,1289,23,1637.52
2024-01-03,Brand Awareness,Paid Social,Instagram,Why Choose Us,32281,560,328.82,1220,18,1287.14
2024-01-03,Brand Awareness,Paid Social,TikTok,Hero Brand,16801,314,160.71,566,8,665.52
2024-01-03,Brand Awareness,Paid Social,TikTok,Our Story,17896,379,179.51,664,10,721.4
2024-01-03,Brand Awareness,Paid Social,TikTok,Why Choose Us,19585,397,198.81,844,11,824.89
2024-01-03,Brand Awareness,Display,Google Display Network,Hero Brand,125736,567,494.84,614,6,379.52
2024-01-03,Brand Awareness,Display,Google Display Network,Our Story,124979,662,493.63,516,9,563.85
2024-01-03,Brand Awareness,Display,Google Display Network,Why Choose Us,137345,586,527.22,768,8,585.74
2024-01-03,Brand Awareness,Display,The Trade Desk,Hero Brand,79589,406,312.93,322,4,302.29
2024-01-03,Brand Awareness,Display,The Trade Desk,Our Story,82654,468,337.92,510,5,343.98
2024-01-03,Brand Awareness,Display,The Trade Desk,Why Choose Us,79429,356,322.7,342,3,238.38
2024-01-03,Brand Awareness,Email,Mailchimp,Hero Brand,17300,3976,26.14,1636,201,22043.06
2024-01-03,Brand Awareness,Email,Mailchimp,Our Story,19233,4204,29.26,1203,222,23418.44
2024-01-03,Brand Awareness,Email,Mailchimp,Why Choose Us,16871,3135,25.82,1251,119,9731.33
2024-01-03,Brand Awareness,Email,Klaviyo,Hero Brand,15917,3422,23.64,1071,155,12784.85
2024-01-03,Brand Awareness,Email,Klaviyo,Our Story,15483,2917,23.04,1168,112,11466.78
2024-01-03,Brand Awareness,Email,Klaviyo,Why Choose Us,15590,3353,22.41,992,111,11032.71
2024-01-03,Brand Awareness,Video,YouTube,Hero Brand,101310,743,1853.11,25648,11,1045.65
2024-01-03,Brand Awareness,Video,YouTube,Our Story,103200,710,1844.58,23463,12,1219.09
2024-01-03,Brand Awareness,Video,YouTube,Why Choose Us,101150,676,1801.63,27074,7,671.46
2024-01-03,Brand Awareness,Video,Connected TV,Hero Brand,48736,338,855.8,11359,3,328.68
2024-01-03,Brand Awareness,Video,Connected TV,Our Story,48289,369,886.91,12315,7,779.59
2024-01-03,Brand Awareness,Video,Connected TV,Why Choose Us,46987,424,807.06,9098,8,904.64
2024-01-04,New Year Push,Paid Search,Google,Fresh Start,37416,1766,840.4,430,84,8487.22
2024-01-04,New Year Push,Paid Search,Google,Countdown Offer,35202,1794,783.59,492,139,14375.35
2024-01-04,New Year Push,Paid Search,Google,Resolution Ready,39786,1661,883.07,483,96,10683.24
2024-01-04,New Year Push,Paid Search,Bing,Fresh Start,9965,430,211.95,120,20,2367.05
2024-01-04,New Year Push,Paid Search,Bing,Countdown Offer,11374,494,255.92,158,36,3911.9
2024-01-04,New Year Push,Paid Search,Bing,Resolution Ready,9485,388,210.81,128,26,2770.85
2024-01-04,New Year Push,Paid Social,Facebook,Fresh Start,50380,904,516.62,2163,22,2033.55
2024-01-04,New Year Push,Paid Social,Facebook,Countdown Offer,48015,906,486.13,2156,25,1835.34
2024-01-04,New Year Push,Paid Social,Facebook,Resolution Ready,42384,747,415.48,1429,14,1150.53
2024-01-04,New Year Push,Paid Social,Instagram,Fresh Start,31028,548,296.53,1374,10,909.61
2024-01-04,New Year Push,Paid Social,Instagram,Countdown Offer,35279,661,353.04,1315,17,1516.04
2024-01-04,New Year Push,Paid Social,Instagram,Resolution Ready,35596,629,366.99,1455,14,1139.61
2024-01-04,New Year Push,Paid Social,TikTok,Fresh Start,17148,259,164.68,781,6,523.63
2024-01-04,New Year Push,Paid Social,TikTok,Countdown Offer,18736,297,182.63,689,7,577.92
2024-01-04,New Year Push,Paid Social,TikTok,Resolution Ready,17183,295,168.1,623,6,506.45
2024-01-04,New Year Push,Display,Google Display Network,Fresh Start,136308,717,521.56,543,9,606.04
2024-01-04,New Year Push,Display,Google Display Network,Countdown Offer,134305,709,559.05,796,7,516.51
2024-01-04,New Year Push,Display,Google Display Network,Resolution Ready,116492,550,487.76,640,6,444.32
2024-01-04,New Year Push,Display,The Trade Desk,Fresh Start,86333,402,341.07,494,5,378.37
2024-01-04,New Year Push,Display,The Trade Desk,Countdown Offer,84289,457,343.41,427,5,351.73
2024-01-04,New Year Push,Display,The Trade Desk,Resolution Ready,75530,358,292.46,323,5,358.52
2024-01-04,New Year Push,Email,Mailchimp,Fresh Start,16727,3054,24.03,1607,97,10068.72
2024-01-04,New Year Push,Email,Mailchimp,Countdown Offer,19342,4622,27.67,1456,225,19209.2
2024-01-04,New Year Push,Email,Mailchimp,Resolution Ready,17373,3204,26.92,1617,159,13732.44
2024-01-04,New Year Push,Email,Klaviyo,Fresh Start,14428,2932,22.02,1027,119,10686.91
2024-01-04,New Year Push,Email,Klaviyo,Countdown Offer,15521,3199,23.36,1151,159,15122.12
2024-01-04,New Year Push,Email,Klaviyo,Resolution Ready,15825,3165,24.8,1611,129,11573.24
2024-01-04,New Year Push,Video,YouTube,Fresh Start,94675,764,1783.61,27967,14,1273.09
2024-01-04,New Year Push,Video,YouTube,Countdown Offer,91591,769,1710.32,23992,9,1013.26
2024-01-04,New Year Push,Video,YouTube,Resolution Ready,105649,779,1951.72,23879,15,1368.13
2024-01-04,New Year Push,Video,Connected TV,Fresh Start,51679,479,904.37,12856,6,525.1
2024-01-04,New Year Push,Video,Connected TV,Countdown Offer,46840,374,820.84,14897,5,437.81
2024-01-04,New Year Push,Video,Connected TV,Resolution Ready,57891,519,1057.66,16912,6,572.87
2024-01-04,Brand Awareness,Paid Search,Google,Hero Brand,39656,1952,840.92,524,117,11756.85
2024-01-04,Brand Awareness,Paid Search,Google,Our Story,33036,1386,751.14,406,97,11541.36
2024-01-04,Brand Awareness,Paid Search,Google,Why Choose Us,33318,1415,718.42,309,83,10657.53
2024-01-04,Brand Awareness,Paid Search,Bing,Hero Brand,10258,405,234.82,129,17,2015.25
2024-01-04,Brand Awareness,Paid Search,Bing,Our Story,9722,389,212.37,123,20,2300.93
2024-01-04,Brand Awareness,Paid Search,Bing,Why Choose Us,10773,421,248.26,101,26,3074.74
2024-01-04,Brand Awareness,Paid Social,Facebook,Hero Brand,52825,969,522.46,1977,27,2533.51
2024-01-04,Brand Awareness,Paid Social,Facebook,Our Story,44488,661,457.72,1559,19,1617.95
2024-01-04,Brand Awareness,Paid Social,Facebook,Why Choose Us,50364,983,495.2,1477,26,2332.52
2024-01-04,Brand Awareness,Paid Social,Instagram,Hero Brand,29972,593,298.66,1250,16,1434.61
2024-01-04,Brand Awareness,Paid Social,Instagram,Our Story,29099,575,289.76,991,10,746.07
2024-01-04,Brand Awareness,Paid Social,Instagram,Why Choose Us,28933,602,289.78,1368,16,1214.9
2024-01-04,Brand Awareness,Paid Social,TikTok,Hero Brand,19854,317,195.7,860,10,778.65
2024-01-04,Brand Awareness,Paid Social,TikTok,Our Story,17029,291,176.92,725,9,712.9
2024-01-04,Brand Awareness,Paid Social,TikTok,Why Choose Us,20844,374,208.39,960,9,804.67
2024-01-04,Brand Awareness,Display,Google Display Network,Hero Brand,134407,570,543.14,780,7,476.97
2024-01-04,Brand Awareness,Display,Google Display Network,Our Story,114615,606,449.59,602,6,456.59
2024-01-04,Brand Awareness,Display,Google Display Network,Why Choose Us,122919,513,509.87,569,7,469.91
2024-01-04,Brand Awareness,Display,The Trade Desk,Hero Brand,87121,505,333.67,465,5,392.52
2024-01-04,Brand Awareness,Display,The Trade Desk,Our Story,81485,473,314.3,429,6,371.71
2024-01-04,Brand Awareness,Display,The Trade Desk,Why Choose Us,70007,385,276.28,329,4,297.08
2024-01-04,Brand Awareness,Email,Mailchimp,Hero Brand,18672,4554,27.65,1732,199,19272.84
2024-01-04,Brand Awareness,Email,Mailchimp,Our Story,17464,3864,25.54,1155,185,17754.91
2024-01-04,Brand Awareness,Email,Mailchimp,Why Choose Us,17417,3738,25.5,1257,151,16654.59
2024-01-04,Brand Awareness,Email,Klaviyo,Hero Brand,13893,3354,20.82,924,170,16085.2
2024-01-04,Brand Awareness,Email,Klaviyo,Our Story,16049,3303,23.08,1435,167,15164.29
2024-01-04,Brand Awareness,Email,Klaviyo,Why Choose Us,14111,2499,21.26,1383,127,12966.71
2024-01-04,Brand Awareness,Video,YouTube,Hero Brand,107430,902,1990.53,27514,11,1021.35
2024-01-04,Brand Awareness,Video,YouTube,Our Story,88992,786,1525.97,23305,11,1224.21
2024-01-04,Brand Awareness,Video,YouTube,Why Choose Us,98645,820,1702.14,22755,17,1847.86
2024-01-04,Brand Awareness,Video,Connected TV,Hero Brand,52789,463,980.93,10592,9,957.2
2024-01-04,Brand Awareness,Video,Connected TV,Our Story,51836,441,918.54,15716,8,850.22
2024-01-04,Brand Awareness,Video,Connected TV,Why Choose Us,48461,452,866.42,14895,5,452.5
2024-01-05,New Year Push,Paid Search,Google,Fresh Start,33752,1365,729.38,447,76,10154.21
2024-01-05,New Year Push,Paid Search,Google,Countdown Offer,40308,2085,864.66,516,133,13929.23
2024-01-05,New Year Push,Paid Search,Google,Resolution Ready,35076,1632,771.87,351,127,13431.33
2024-01-05,New Year Push,Paid Search,Bing,Fresh Start,10780,535,239.65,151,34,4403.45
2024-01-05,New Year Push,Paid Search,Bing,Countdown Offer,9209,354,205.46,114,23,2931.36
2024-01-05,New Year Push,Paid Search,Bing,Resolution Ready,10176,491,223.83,129,26,3488.3
2024-01-05,New Year Push,Paid Social,Facebook,Fresh Start,47181,942,480.54,1611,18,1281.13
2024-01-05,New Year Push,Paid Social,Facebook,Countdown Offer,46688,835,453.06,1868,19,1660.06
2024-01-05,New Year Push,Paid Social,Facebook,Resolution Ready,50037,1017,524.16,1550,24,2004.4
2024-01-05,New Year Push,Paid Social,Instagram,Fresh Start,31156,554,304.32,1034,10,768.39
2024-01-05,New Year Push,Paid Social,Instagram,Countdown Offer,31664,593,308.67,1423,12,933.06
2024-01-05,New Year Push,Paid Social,Instagram,Resolution Ready,33177,556,340.5,1259,14,1147.57
2024-01-05,New Year Push,Paid Social,TikTok,Fresh Start,17890,266,186.87,681,8,599.94
2024-01-05,New Year Push,Paid Social,TikTok,Countdown Offer,18090,272,180.81,818,7,568.94
2024-01-05,New Year Push,Paid Social,TikTok,Resolution Ready,18917,383,187.86,856,11,973.4
2024-01-05,New Year Push,Display,Google Display Network,Fresh Start,123597,595,497.86,523,7,439.52
